SANGER_MODEL_ID,CELL_LINE_NAME,LN_IC50,Z_SCORE,SangerModelID,axis_antiEGFR,axis_antiALK
SIDM00924,ChaGo-K-1,4.558511,1.291622,SIDM00924,0,0
SIDM00922,Calu-3,3.134475,0.247024,SIDM00922,0,0
SIDM00512,COR-L23,2.549926,-0.181771,SIDM00512,0,0
SIDM00548,LK-2,3.759009,0.705149,SIDM00548,0,0
SIDM00734,NCI-H1437,3.568377,0.565312,SIDM00734,0,0
SIDM00747,NCI-H1623,0.497119,-1.687601,SIDM00747,0,0
SIDM00746,NCI-H1648,-0.095164,-2.122069,SIDM00746,0,0
SIDM00745,NCI-H1650,1.153674,-1.205988,SIDM00745,1,0
SIDM00742,NCI-H1693,1.797712,-0.733555,SIDM00742,0,0
SIDM00737,NCI-H1770,4.999757,1.615297,SIDM00737,0,0
SIDM00769,NCI-H1838,3.86942,0.786141,SIDM00769,0,0
SIDM00709,NCI-H2085,4.261567,1.073799,SIDM00709,0,0
SIDM00716,NCI-H2170,0.554039,-1.645848,SIDM00716,0,0
SIDM00729,NCI-H2228,3.596674,0.586069,SIDM00729,0,1
SIDM00727,NCI-H2342,3.677234,0.645164,SIDM00727,0,0
SIDM00726,NCI-H2347,4.958129,1.584761,SIDM00726,0,0
SIDM00724,NCI-H2405,3.200485,0.295445,SIDM00724,0,0
SIDM01122,NCI-H661,3.221429,0.310809,SIDM01122,0,0
SIDM00320,VMRC-LCD,4.4595,1.218992,SIDM00320,0,0
SIDM00715,NCI-H2030,1.939703,-0.629398,SIDM00715,0,0
SIDM00702,NCI-H2122,0.527964,-1.664975,SIDM00702,0,0
SIDM00739,NCI-H1734,3.508,0.521022,SIDM00739,0,0
SIDM01124,NCI-H650,3.446104,0.475619,SIDM01124,0,0
SIDM00649,NCI-H1299,4.183946,1.01686,SIDM00649,0,0
SIDM00708,NCI-H2087,4.345665,1.13549,SIDM00708,0,0
SIDM00921,Calu-6,3.90273,0.810576,SIDM00921,0,0
SIDM00645,NCI-H1355,3.164464,0.269022,SIDM00645,0,0
SIDM00771,NCI-H1792,2.419636,-0.277345,SIDM00771,0,0
SIDM00756,NCI-H2009,2.964772,0.122539,SIDM00756,0,0
SIDM00728,NCI-H2291,4.158938,0.998516,SIDM00728,0,0
SIDM01163,SW1573,5.340609,1.865328,SIDM01163,0,0
SIDM00990,BEN,4.276229,1.084555,SIDM00990,0,0
SIDM00939,CAL-12T,2.016658,-0.572948,SIDM00939,0,0
SIDM00486,EBC-1,2.914487,0.085652,SIDM00486,0,0
SIDM01044,EPLC-272H,2.020633,-0.570032,SIDM01044,0,0
SIDM00606,KNS-62,3.255774,0.336003,SIDM00606,0,0
SIDM00345,LCLC-103H,3.940077,0.837971,SIDM00345,0,0
SIDM00339,LXF-289,3.008299,0.154468,SIDM00339,0,0
SIDM00751,NCI-H1563,2.142612,-0.480555,SIDM00751,0,0
SIDM00237,PC-14,-2.165675,-3.640888,SIDM00237,1,0
SIDM00138,NCI-H23,3.108025,0.227622,SIDM00138,0,0
SIDM00144,NCI-H460,2.089231,-0.519712,SIDM00144,0,0
SIDM00116,NCI-H522,2.835668,0.027835,SIDM00116,0,0
SIDM00903,A549,2.117848,-0.49872,SIDM00903,0,0
SIDM00117,NCI-H322M,-1.215501,-2.94389,SIDM00117,0,0
SIDM00117,NCI-H322M,-1.215501,-2.94389,SIDM00117,0,0
SIDM00119,EKVX,1.725803,-0.786304,SIDM00119,0,0
SIDM00133,HOP-62,2.850358,0.038611,SIDM00133,0,0
SIDM00134,HOP-92,2.308853,-0.358609,SIDM00134,0,0
SIDM00494,ABC-1,5.695293,2.125505,SIDM00494,0,0
SIDM00513,COR-L105,-0.482667,-2.406321,SIDM00513,0,0
SIDM00297,LC-2-ad,2.1297,-0.490026,SIDM00297,0,0
SIDM01130,NCI-H520,3.463069,0.488063,SIDM01130,0,0
SIDM01127,NCI-H596,3.884746,0.797384,SIDM01127,0,0
SIDM00925,NCI-H441,3.099466,0.221343,SIDM00925,0,0
SIDM00755,NCI-H1793,3.94859,0.844216,SIDM00755,0,0
SIDM00718,NCI-H358,1.983462,-0.597299,SIDM00718,0,0
SIDM00651,NCI-H1155,1.098672,-1.246334,SIDM00651,0,0
SIDM00748,NCI-H1581,3.625936,0.607534,SIDM00748,0,0
SIDM00749,NCI-H1573,1.257048,-1.130158,SIDM00749,0,0
SIDM00743,NCI-H1666,0.257436,-1.86342,SIDM00743,0,0
SIDM00740,NCI-H1703,3.38427,0.430261,SIDM00740,0,0
SIDM00738,NCI-H1755,2.892298,0.069376,SIDM00738,0,0
SIDM00758,NCI-H1993,3.366161,0.416977,SIDM00758,0,0
SIDM01108,SK-LU-1,4.942308,1.573155,SIDM01108,0,0
SIDM01103,SK-MES-1,1.358889,-1.055453,SIDM01103,0,0
SIDM01150,NCI-H838,3.796658,0.732767,SIDM01150,0,0
SIDM00306,IA-LM,4.463358,1.221823,SIDM00306,0,0
SIDM00810,A427,4.354004,1.141606,SIDM00810,0,0
SIDM00744,NCI-H1651,2.566453,-0.169647,SIDM00744,0,0
SIDM00355,RERF-LC-MS,3.109003,0.228339,SIDM00355,0,0
SIDM00759,NCI-H1975,1.813576,-0.721918,SIDM00759,1,0
SIDM01116,NCI-H810,3.537892,0.54295,SIDM01116,0,0
SIDM00344,LCLC-97TM1,3.530458,0.537496,SIDM00344,0,0
SIDM00114,NCI-H513,1.287628,-1.107726,SIDM00114,0,0
SIDM00598,HARA,1.796949,-0.734115,SIDM00598,0,0
SIDM01072,HCC-15,2.156613,-0.470284,SIDM01072,0,0
SIDM01070,HCC-366,3.167413,0.271186,SIDM01070,0,0
SIDM01069,HCC-44,3.8079,0.741013,SIDM01069,0,0
SIDM01067,HCC-827,-2.731313,-4.05581,SIDM01067,1,0
SIDM00768,NCI-H1869,0.438622,-1.730512,SIDM00768,0,0
SIDM00763,NCI-H1915,3.876723,0.791498,SIDM00763,0,0
SIDM00762,NCI-H1944,1.731054,-0.782452,SIDM00762,0,0
SIDM00753,NCI-H2023,3.418802,0.455591,SIDM00753,0,0
SIDM00137,NCI-H3122,4.279557,1.086996,SIDM00137,0,1
SIDM01125,NCI-H647,3.320686,0.383619,SIDM01125,0,0
SIDM00361,PC-3_[JPC-3],-1.549129,-3.188622,SIDM00361,0,0
SIDM00046,H3255,0.325377,-1.813583,SIDM00046,1,0
SIDM01068,HCC-78,4.151055,0.992734,SIDM01068,0,0
SIDM00300,LC-1-sq,0.904653,-1.388656,SIDM00300,0,0
SIDM00341,LOU-NH91,0.397651,-1.760566,SIDM00341,1,0
SIDM00658,NCI-H1435,3.074526,0.203048,SIDM00658,0,0
SIDM00750,NCI-H1568,0.05517,-2.011792,SIDM00750,0,0
SIDM00754,NCI-H1781,1.889964,-0.665884,SIDM00754,0,0
SIDM00703,NCI-H2110,2.006872,-0.580126,SIDM00703,0,0
SIDM00700,NCI-H2135,7.00423,3.085673,SIDM00700,0,0
SIDM00926,NCI-H2172,4.090141,0.94805,SIDM00926,0,0
SIDM00723,NCI-H2444,5.377558,1.892432,SIDM00723,0,0
SIDM00356,RERF-LC-KJ,0.902932,-1.389919,SIDM00356,0,0
SIDM00354,RERF-LC-Sq1,0.495385,-1.688873,SIDM00354,0,0
SIDM00508,COR-L32,5.36962,1.886609,SIDM00508,0,0
SIDM00507,COR-L321,3.48835,0.506608,SIDM00507,0,0
SIDM00048,EMC-BAC-1,1.684803,-0.816379,SIDM00048,0,0
SIDM00047,EMC-BAC-2,1.487932,-0.960794,SIDM00047,0,0
