definition,split,n,n_pos,prevalence,auroc,ci_lo,ci_hi,perm_null_mean,perm_p_value
IHC_status,val_only,112,38,0.3393,0.585,0.4657,0.6972,0.5015,0.0818
IHC_status,test_only,90,27,0.3,0.7125,0.5925,0.8266,0.5005,0.0008
IHC_status,pooled,202,65,0.3218,0.6384,0.5525,0.7194,0.4996,0.0012
IHC_3plus,val_only,48,19,0.3958,0.6334,0.457,0.7967,0.5021,0.064
IHC_3plus,test_only,38,10,0.2632,0.6393,0.3946,0.8583,0.4994,0.0968
IHC_3plus,pooled,86,29,0.3372,0.6407,0.5036,0.7683,0.5011,0.017
FISH,val_only,25,8,0.32,0.8088,0.5333,1.0,0.4986,0.0066
FISH,test_only,22,7,0.3182,0.7429,0.5086,0.9412,0.501,0.039
FISH,pooled,47,15,0.3191,0.7667,0.5952,0.9095,0.5004,0.0018
CNV_amp,val_only,151,27,0.1788,0.7682,0.6592,0.8697,0.5004,0.0002
CNV_amp,test_only,149,18,0.1208,0.7252,0.603,0.8327,0.4982,0.001
CNV_amp,pooled,300,45,0.15,0.7525,0.6732,0.8286,0.5007,0.0002
